stop_id,nombre,ciudad,provincia,latitud,longitud,num_andenes,tiene_sala_club
61200,Murcia,Murcia,Murcia,37.9748243,-1.131508,0,0
6006,Lorca Sutullena,Lorca Sutullena,Desconocida,37.6721129,-1.6962305,0,0
6002,Alhama de Murcia,Alhama de Murcia,Desconocida,37.8494024,-1.4145141,0,0
6003,Totana,Totana,Desconocida,37.7635424,-1.4956153,0,0
51003,Sevilla-Santa Justa,Sevilla-Santa Justa,Sevilla,37.3924955,-5.9749269,0,1
37200,Ciudad Real,Ciudad Real,Ciudad Real,38.9853,-3.913633,0,0
37300,Puertollano,Puertollano,Ciudad Real,38.69128,-4.111655,0,1
54413,Malaga Maria Zambrano,Malaga Maria Zambrano,Desconocida,36.7113388,-4.4313888,0,0
37704,Villanueva de Cordoba-Los Pedroches,Villanueva de Cordoba-Los Pedroches,Desconocida,38.2554049,-4.570952,0,0
2002,Puente Genil-Herrera,Puente Genil-Herrera,Desconocida,37.3579,-4.821638,0,0
2003,Antequera-Santa Ana,Antequera-Santa Ana,Desconocida,37.069881,-4.719014,0,0
5000,Granada,Granada,Granada,37.184038,-3.609154,0,0
2030,Antequera AV,Antequera AV,Desconocida,37.0334437,-4.5612901,0,0
5012,Loja,Loja,Desconocida,37.175372,-4.134841,0,0
51405,Cádiz,Cádiz,Cádiz,36.528935,-6.2879716,0,0
51406,San Fernando-Bahía Sur,San Fernando-Bahía Sur,Desconocida,36.4680834,-6.2067676,0,0
51400,Puerto De Santa María,Puerto De Santa María,Desconocida,36.6040723,-6.2179261,0,0
51300,Jerez De La Frontera,Jerez De La Frontera,Cádiz,36.680022,-6.1266032,0,0
43019,Huelva,Huelva,Huelva,37.253079,-6.950971,0,0
43011,La Palma del Condado,La Palma del Condado,Desconocida,37.390665,-6.554444,0,0
74200,Huesca,Huesca,Huesca,42.133594,-0.409745,0,1
78200,Tardienta,Tardienta,Desconocida,41.975716,-0.538223,0,0
3216,Valencia Joaquin Sorolla,Valencia Joaquin Sorolla,Desconocida,39.459051,-0.382923,0,0
3208,Cuenca Fernando Zobel,Cuenca Fernando Zobel,Desconocida,40.035192,-2.14441,0,0
11500,Tolosa,Tolosa,Desconocida,43.1354472,-2.0790886,0,0
15410,Gijón/Xixón,Gijón/Xixón,Desconocida,43.5377329,-5.6758089,0,0
15211,Oviedo/Uviéu,Oviedo/Uviéu,Desconocida,43.3663577,-5.854838,0,0
15122,Pola De Lena/La Pola,Pola De Lena/La Pola,Desconocida,43.15872,-5.8310263,0,0
14223,Santander,Santander,Cantabria,43.4583981,-3.8109529,0,0
3309,Villena Av,Villena Av,Desconocida,38.585302,-0.873295,0,0
8004,Segovia Guiomar,Segovia Guiomar,Segovia,40.910577,-4.094564,0,1
14114,Aguilar de Campoo,Aguilar de Campoo,Desconocida,42.785362,-4.233899,0,0
14213,Torrelavega/Tanos,Torrelavega/Tanos,Desconocida,43.3276776,-4.0426871,0,0
14202,Reinosa,Reinosa,Desconocida,42.9944991,-4.1409454,0,0
15203,Mieres Puente,Mieres Puente,Desconocida,43.2500266,-5.7822622,0,0
11600,Irun,Irun,Desconocida,43.3395365,-1.8012519,0,0
20005,Veguellina,Veguellina,Desconocida,42.4335,-5.88756,0,0
20104,Brañuelas,Brañuelas,Desconocida,42.632631,-6.201002,0,0
16403,Avilés,Avilés,Desconocida,43.561339,-5.9228329,0,0
8240,Medina del Campo Alta Velocidad,Medina del Campo Alta Velocidad,Desconocida,41.317459,-4.910071,0,0
30200,Zamora,Zamora,Zamora,41.515892,-5.739675,0,0
8247,Sanabria Alta Velocidad,Sanabria Alta Velocidad,Desconocida,42.0450532,-6.5631319,0,0
8251,A Gudiña-Porta de Galicia,A Gudiña-Porta de Galicia,Desconocida,42.0635401,-7.1355604,0,0
20113,San Miguel de Las Dueñas,San Miguel de Las Dueñas,Desconocida,42.586392,-6.523776,0,0
20109,Torre del Bierzo,Torre del Bierzo,Desconocida,42.595578,-6.329083,0,0
20102,Vega-Magaz,Vega-Magaz,Desconocida,42.55376,-6.068267,0,0
3213,Requena Utiel,Requena Utiel,Desconocida,39.519834,-1.127601,0,0
3410,ELX AV,ELX AV,Desconocida,38.24551,-0.76675,0,0
92102,Toledo,Toledo,Toledo,39.862272,-4.011244,0,0
3412,CALLOSA DE SEGURA - COX,CALLOSA DE SEGURA - COX,Desconocida,38.1227708,-0.8745727,0,0
62001,Beniel,Beniel,Desconocida,38.0448608,-0.9994759,0,0
99159,Santiago-Turistico,Santiago-Turistico,Desconocida,42.870842,-8.544697,0,0
31416,Cerceda-Meirama,Cerceda-Meirama,Desconocida,43.2078791,-8.4467723,0,0
23021,Padron-Barbanza,Padron-Barbanza,Desconocida,42.738967,-8.652614,0,0
23002,Arcade,Arcade,Desconocida,42.340549,-8.611178,0,0
99161,Pontevedra-Turistico,Pontevedra-Turistico,Desconocida,42.421969,-8.635546,0,0
99143,A Coruna-Turistico,A Coruna-Turistico,Desconocida,43.352761,-8.409755,0,0
55020,Algeciras,Algeciras,Desconocida,36.126831,-5.451108,0,0
55018,San Roque-La Linea,San Roque-La Linea,Desconocida,36.214482,-5.432399,0,0
55007,Ronda,Ronda,Desconocida,36.748401,-5.16197,0,0
99117,Ourense Turistico,Ourense Turistico,Desconocida,42.350389,-7.872777,0,0
87089,Marseille St Charles,Marseille St Charles,Desconocida,43.30349,5.382236,0,0
87912,Aix en Provence,Aix en Provence,Desconocida,43.455268,5.31723,0,0
